id,parent_id,subject,description,status,assign_to,report_to,date_created,date_assigned,due_date,rel_contact,rel_donation,rel_ticket_order,rel_account
0,477,tristique pharetra. Quisque ac libero nec,"a, magna. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Etiam laoreet, libero et tristique pellentesque, tellus sem mollis dui, in sodales elit erat vitae risus. Duis a mi fringilla mi lacinia mattis. Integer eu lacus. Quisque",in_progress,3,2,11/1/21 21:27,1/11/22 10:51,1/25/22 0:37,2787,303,287,315
1,426,elit,lobortis,completed,0,1,1/26/22 15:09,10/6/21 17:37,12/2/21 12:58,6157,333,131,181
2,106,,"eget tincidunt dui augue eu tellus. Phasellus elit pede, malesuada vel, venenatis vel, faucibus id, libero. Donec consectetuer mauris id sapien. Cras dolor dolor, tempus non, lacinia at, iaculis quis, pede. Praesent eu dui. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean",in_progress,2,3,9/24/21 15:01,9/10/21 3:30,11/19/21 10:13,3321,488,325,98
3,351,Donec at arcu.,"sollicitudin adipiscing ligula. Aenean gravida nunc sed pede. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Proin vel arcu eu odio tristique pharetra. Quisque ac",not_started,2,2,10/24/21 6:35,1/21/22 2:21,10/28/21 17:03,4329,481,122,31
4,271,metus,"pulvinar arcu et pede. Nunc sed orci lobortis augue scelerisque mollis. Phasellus libero mauris, aliquam eu, accumsan sed, facilisis vitae, orci. Phasellus dapibus quam quis diam. Pellentesque habitant",completed,2,2,9/4/21 16:20,2/14/22 23:09,12/20/21 1:00,3699,24,165,357
5,63,euismod est arcu ac orci. Ut semper,"risus. Donec egestas. Aliquam nec enim. Nunc ut erat. Sed nunc est, mollis non, cursus non, egestas a, dui. Cras pellentesque. Sed dictum. Proin eget odio. Aliquam vulputate ullamcorper magna. Sed eu eros. Nam",in_progress,3,1,11/22/21 19:54,1/31/22 4:00,1/19/22 3:43,5780,255,22,78
6,146,aliquet,"tempor bibendum. Donec felis orci, adipiscing non, luctus sit amet, faucibus ut, nulla. Cras eu",not_started,1,0,11/27/21 9:22,11/1/21 4:22,3/17/22 17:09,5556,372,402,201
7,147,non enim commodo hendrerit. Donec porttitor,"vestibulum nec, euismod in, dolor. Fusce",in_progress,2,1,12/6/21 10:39,11/14/21 19:34,1/20/22 14:32,803,247,384,173
8,87,Praesent,"cursus et, eros. Proin ultrices. Duis volutpat nunc sit amet metus. Aliquam erat volutpat. Nulla facilisis. Suspendisse commodo tincidunt nibh. Phasellus nulla. Integer vulputate, risus a ultricies adipiscing, enim mi tempor lorem,",in_progress,1,1,1/9/22 13:33,11/26/21 21:56,12/17/21 9:41,7391,485,77,139
9,204,"lectus ante dictum mi, ac","sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Proin vel nisl. Quisque fringilla euismod enim. Etiam gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat. Cras",in_progress,1,2,2/13/22 8:15,9/10/21 23:08,10/29/21 2:36,7419,429,58,438
